,estimator,depth,bs,split,feature,accuracy
113,25,5,True,3,sqrt,0.8061224489795918
114,25,5,True,1,log2,0.8571428571428571
115,25,5,True,2,log2,0.8571428571428571
116,25,5,True,3,log2,0.8571428571428571
117,25,5,False,1,auto,0.8367346938775511
118,25,5,False,2,auto,0.8367346938775511
119,25,5,False,3,auto,0.8367346938775511
120,25,5,False,1,sqrt,0.8469387755102041
121,25,5,False,2,sqrt,0.8469387755102041
122,25,5,False,3,sqrt,0.8469387755102041
123,25,5,False,1,log2,0.8877551020408163
124,25,5,False,2,log2,0.8877551020408163
125,25,5,False,3,log2,0.8877551020408163
126,25,10,True,1,auto,0.8775510204081632
127,25,10,True,2,auto,0.8775510204081632
128,25,10,True,3,auto,0.8673469387755102
129,25,10,True,1,sqrt,0.8367346938775511
130,25,10,True,2,sqrt,0.8367346938775511
131,25,10,True,3,sqrt,0.8571428571428571
132,25,10,True,1,log2,0.8673469387755102
133,25,10,True,2,log2,0.8673469387755102
134,25,10,True,3,log2,0.8469387755102041
135,25,10,False,1,auto,0.8061224489795918
136,25,10,False,2,auto,0.8061224489795918
137,25,10,False,3,auto,0.8061224489795918
138,25,10,False,1,sqrt,0.8571428571428571
139,25,10,False,2,sqrt,0.8571428571428571
140,25,10,False,3,sqrt,0.8571428571428571
141,25,10,False,1,log2,0.8775510204081632
142,25,10,False,2,log2,0.8775510204081632
143,25,10,False,3,log2,0.8673469387755102
144,25,15,True,1,auto,0.8775510204081632
145,25,15,True,2,auto,0.8775510204081632
146,25,15,True,3,auto,0.8673469387755102
147,25,15,True,1,sqrt,0.8367346938775511
148,25,15,True,2,sqrt,0.8367346938775511
149,25,15,True,3,sqrt,0.8469387755102041
150,25,15,True,1,log2,0.8673469387755102
151,25,15,True,2,log2,0.8673469387755102
152,25,15,True,3,log2,0.8469387755102041
153,25,15,False,1,auto,0.8061224489795918
154,25,15,False,2,auto,0.8061224489795918
155,25,15,False,3,auto,0.8061224489795918
156,25,15,False,1,sqrt,0.8775510204081632
157,25,15,False,2,sqrt,0.8775510204081632
158,25,15,False,3,sqrt,0.8571428571428571
159,25,15,False,1,log2,0.8775510204081632
160,25,15,False,2,log2,0.8775510204081632
161,25,15,False,3,log2,0.8673469387755102
162,25,20,True,1,auto,0.8775510204081632
163,25,20,True,2,auto,0.8775510204081632
164,25,20,True,3,auto,0.8673469387755102
165,25,20,True,1,sqrt,0.8367346938775511
166,25,20,True,2,sqrt,0.8367346938775511
167,25,20,True,3,sqrt,0.8469387755102041
168,25,20,True,1,log2,0.8673469387755102
169,25,20,True,2,log2,0.8673469387755102
170,25,20,True,3,log2,0.8469387755102041
171,25,20,False,1,auto,0.8061224489795918
172,25,20,False,2,auto,0.8061224489795918
173,25,20,False,3,auto,0.8061224489795918
174,25,20,False,1,sqrt,0.8775510204081632
175,25,20,False,2,sqrt,0.8775510204081632
176,25,20,False,3,sqrt,0.8571428571428571
177,25,20,False,1,log2,0.8775510204081632
178,25,20,False,2,log2,0.8775510204081632
179,25,20,False,3,log2,0.8673469387755102
180,25,25,True,1,auto,0.8775510204081632
181,25,25,True,2,auto,0.8775510204081632
182,25,25,True,3,auto,0.8673469387755102
183,25,25,True,1,sqrt,0.8367346938775511
184,25,25,True,2,sqrt,0.8367346938775511
185,25,25,True,3,sqrt,0.8469387755102041
186,25,25,True,1,log2,0.8673469387755102
187,25,25,True,2,log2,0.8673469387755102
188,25,25,True,3,log2,0.8469387755102041
189,25,25,False,1,auto,0.8061224489795918
190,25,25,False,2,auto,0.8061224489795918
191,25,25,False,3,auto,0.8061224489795918
192,25,25,False,1,sqrt,0.8775510204081632
193,25,25,False,2,sqrt,0.8775510204081632
194,25,25,False,3,sqrt,0.8571428571428571
195,25,25,False,1,log2,0.8775510204081632
196,25,25,False,2,log2,0.8775510204081632
197,25,25,False,3,log2,0.8673469387755102
198,25,30,True,1,auto,0.8775510204081632
199,25,30,True,2,auto,0.8775510204081632
200,25,30,True,3,auto,0.8673469387755102
201,25,30,True,1,sqrt,0.8367346938775511
202,25,30,True,2,sqrt,0.8367346938775511
203,25,30,True,3,sqrt,0.8469387755102041
204,25,30,True,1,log2,0.8673469387755102
205,25,30,True,2,log2,0.8673469387755102
206,25,30,True,3,log2,0.8469387755102041
207,25,30,False,1,auto,0.8061224489795918
208,25,30,False,2,auto,0.8061224489795918
209,25,30,False,3,auto,0.8061224489795918
210,25,30,False,1,sqrt,0.8775510204081632
211,25,30,False,2,sqrt,0.8775510204081632
212,25,30,False,3,sqrt,0.8571428571428571
213,25,30,False,1,log2,0.8775510204081632
214,25,30,False,2,log2,0.8775510204081632
215,25,30,False,3,log2,0.8673469387755102
216,50,5,True,1,auto,0.8673469387755102
217,50,5,True,2,auto,0.8673469387755102
218,50,5,True,3,auto,0.8673469387755102
219,50,5,True,1,sqrt,0.8571428571428571
220,50,5,True,2,sqrt,0.8571428571428571
221,50,5,True,3,sqrt,0.8571428571428571
222,50,5,True,1,log2,0.8571428571428571
223,50,5,True,2,log2,0.8571428571428571
224,50,5,True,3,log2,0.8673469387755102
225,50,5,False,1,auto,0.8367346938775511
226,50,5,False,2,auto,0.8367346938775511
227,50,5,False,3,auto,0.8367346938775511
228,50,5,False,1,sqrt,0.8469387755102041
229,50,5,False,2,sqrt,0.8469387755102041
230,50,5,False,3,sqrt,0.8469387755102041
231,50,5,False,1,log2,0.8877551020408163
232,50,5,False,2,log2,0.8877551020408163
233,50,5,False,3,log2,0.8877551020408163
234,50,10,True,1,auto,0.8571428571428571
235,50,10,True,2,auto,0.8571428571428571
236,50,10,True,3,auto,0.8571428571428571
237,50,10,True,1,sqrt,0.8469387755102041
238,50,10,True,2,sqrt,0.8469387755102041
239,50,10,True,3,sqrt,0.8571428571428571
240,50,10,True,1,log2,0.8469387755102041
241,50,10,True,2,log2,0.8469387755102041
242,50,10,True,3,log2,0.8469387755102041
243,50,10,False,1,auto,0.8061224489795918
244,50,10,False,2,auto,0.8061224489795918
245,50,10,False,3,auto,0.8061224489795918
246,50,10,False,1,sqrt,0.8877551020408163
247,50,10,False,2,sqrt,0.8877551020408163
248,50,10,False,3,sqrt,0.8673469387755102
249,50,10,False,1,log2,0.8571428571428571
250,50,10,False,2,log2,0.8571428571428571
251,50,10,False,3,log2,0.8775510204081632
252,50,15,True,1,auto,0.8571428571428571
253,50,15,True,2,auto,0.8571428571428571
254,50,15,True,3,auto,0.8571428571428571
255,50,15,True,1,sqrt,0.8571428571428571
256,50,15,True,2,sqrt,0.8571428571428571
257,50,15,True,3,sqrt,0.8571428571428571
258,50,15,True,1,log2,0.8469387755102041
259,50,15,True,2,log2,0.8469387755102041
260,50,15,True,3,log2,0.8469387755102041
261,50,15,False,1,auto,0.8061224489795918
262,50,15,False,2,auto,0.8061224489795918
263,50,15,False,3,auto,0.8061224489795918
264,50,15,False,1,sqrt,0.8877551020408163
265,50,15,False,2,sqrt,0.8877551020408163
266,50,15,False,3,sqrt,0.8571428571428571
267,50,15,False,1,log2,0.8571428571428571
268,50,15,False,2,log2,0.8571428571428571
269,50,15,False,3,log2,0.8775510204081632
270,50,20,True,1,auto,0.8571428571428571
271,50,20,True,2,auto,0.8571428571428571
272,50,20,True,3,auto,0.8571428571428571
273,50,20,True,1,sqrt,0.8571428571428571
274,50,20,True,2,sqrt,0.8571428571428571
275,50,20,True,3,sqrt,0.8571428571428571
276,50,20,True,1,log2,0.8469387755102041
277,50,20,True,2,log2,0.8469387755102041
278,50,20,True,3,log2,0.8469387755102041
279,50,20,False,1,auto,0.8061224489795918
280,50,20,False,2,auto,0.8061224489795918
281,50,20,False,3,auto,0.8061224489795918
282,50,20,False,1,sqrt,0.8877551020408163
283,50,20,False,2,sqrt,0.8877551020408163
284,50,20,False,3,sqrt,0.8571428571428571
285,50,20,False,1,log2,0.8571428571428571
286,50,20,False,2,log2,0.8571428571428571
287,50,20,False,3,log2,0.8775510204081632
288,50,25,True,1,auto,0.8571428571428571
289,50,25,True,2,auto,0.8571428571428571
290,50,25,True,3,auto,0.8571428571428571
291,50,25,True,1,sqrt,0.8571428571428571
292,50,25,True,2,sqrt,0.8571428571428571
293,50,25,True,3,sqrt,0.8571428571428571
294,50,25,True,1,log2,0.8469387755102041
295,50,25,True,2,log2,0.8469387755102041
296,50,25,True,3,log2,0.8469387755102041
297,50,25,False,1,auto,0.8061224489795918
298,50,25,False,2,auto,0.8061224489795918
299,50,25,False,3,auto,0.8061224489795918
300,50,25,False,1,sqrt,0.8877551020408163
301,50,25,False,2,sqrt,0.8877551020408163
302,50,25,False,3,sqrt,0.8571428571428571
303,50,25,False,1,log2,0.8571428571428571
304,50,25,False,2,log2,0.8571428571428571
305,50,25,False,3,log2,0.8775510204081632
306,50,30,True,1,auto,0.8571428571428571
307,50,30,True,2,auto,0.8571428571428571
308,50,30,True,3,auto,0.8571428571428571
309,50,30,True,1,sqrt,0.8571428571428571
310,50,30,True,2,sqrt,0.8571428571428571
311,50,30,True,3,sqrt,0.8571428571428571
312,50,30,True,1,log2,0.8469387755102041
313,50,30,True,2,log2,0.8469387755102041
314,50,30,True,3,log2,0.8469387755102041
315,50,30,False,1,auto,0.8061224489795918
316,50,30,False,2,auto,0.8061224489795918
317,50,30,False,3,auto,0.8061224489795918
318,50,30,False,1,sqrt,0.8877551020408163
319,50,30,False,2,sqrt,0.8877551020408163
320,50,30,False,3,sqrt,0.8571428571428571
321,50,30,False,1,log2,0.8571428571428571
322,50,30,False,2,log2,0.8571428571428571
323,50,30,False,3,log2,0.8775510204081632
324,100,5,True,1,auto,0.8673469387755102
325,100,5,True,2,auto,0.8673469387755102
