,Unnamed: 0,groupName,rank,rfPred,rfClassPred,svmPred,svmClassPred,Difference
269,15,piper89 6-4-89,3,4.39,5,4.507334129,5,2
270,13,piper89 6-4-89,3,4.523333333,5,4.393282144,3,2
271,15,piper89 6-4-89,3,4.436666667,5,4.284735158999999,5,2
272,17,piper89 6-4-89,3,4.523333333,5,4.415840883,5,2
273,25,piper89 6-4-89,3,4.5033333330000005,5,4.541423865,3,2
274,17,piper89 6-4-89,3,4.726666667,5,4.607674974,5,2
275,16,piper89 6-4-89,3,4.333333333,5,4.36932382,5,2
276,28,piper89 6-4-89,3,4.11,5,4.638607095,5,2
277,13,piper89 6-4-89,3,4.45,5,3.70408193,3,2
278,21,piper89 6-4-89,3,4.07,5,4.097435044,4,2
279,16,piper89 6-4-89,3,4.193333333,5,4.108473743999999,5,2
280,24,piper89 6-4-89,3,4.2,5,4.18121506,5,2
281,19,piper89 6-4-89,3,4.34,5,4.47437291,5,2
282,15,piper89 6-4-89,3,4.623333333,5,4.447351136,5,2
283,19,piper89 6-4-89,3,4.37,5,4.717951906000001,3,2
284,15,piper89 6-4-89,3,4.533333333,5,4.2968062069999995,3,2
285,19,piper89 6-4-89,3,4.4566666669999995,5,4.681371219,5,2
286,15,piper89 6-4-89,3,4.423333333,5,4.363520065,5,2
287,13,piper89 6-4-89,3,4.183333333,5,4.637546883,5,2
288,15,piper89 6-4-89,3,4.366666667,5,4.691504137,5,2
289,23,piper89 6-4-89,3,4.5033333330000005,5,4.593302667,5,2
290,13,piper89 6-4-89,3,4.333333333,5,4.951707902,5,2
291,19,piper89 6-4-89,3,3.95,5,4.242557132,5,2
292,20,piper89 6-4-89,3,4.47,5,4.405726217,5,2
293,15,piper89 6-4-89,3,4.4,5,4.717543411,5,2
294,13,piper89 6-4-89,3,4.0033333330000005,5,4.642591192,5,2
295,32,remembering-9-11-steve-shepherd-sermon-on-america-160100.asp,3,2.793333333,5,2.657978874,1,2
296,5,SS04,3,4.19,5,4.213144517,5,2
297,2,SS14,3,4.22,5,3.513818825,2,2
298,1,SS14,3,3.7,5,3.713373833,5,2
299,5,SS14,3,3.5066666669999997,5,3.688519356,2,2
300,8,SS14,3,3.7233333330000002,5,3.742324478,5,2
301,4,SS14,3,4.183333333,5,3.103754948,2,2
302,7,SS14,3,3.93,5,3.4598995610000003,2,2
303,15,YV04,3,5.426666667,5,4.251337177,3,2
304,25,YV04,3,5.366666667,5,3.2288355639999997,2,2
305,7,MalcolmX-AnAppealtoAfricanHeadsofState,2,3.82,4,3.44125626,3,2
306,10,piper94 07-10-94,2,3.9666666669999997,4,3.19211796,3,2
307,12,piper94 07-10-94,2,3.856666667,4,3.71663782,4,2
308,9,piper94 07-10-94,2,3.7,4,3.2641694639999996,2,2
309,8,piper94 07-10-94,2,3.93,4,4.1843986719999995,4,2
310,8,piper94 07-10-94,2,4.14,4,3.85586289,3,2
311,9,piper94 07-10-94,2,4.31,4,3.649892165,4,2
312,9,piper94 07-10-94,2,3.74,4,3.512831377,2,2
313,7,piper94 07-10-94,2,4.006666667,4,4.43329728,4,2
314,11,piper94 07-10-94,2,4.273333333,4,4.425609306,4,2
315,7,piper94 07-10-94,2,3.396666667,4,3.364373154,4,2
316,4,piper94 07-10-94,2,3.753333333,4,3.376351925,2,2
317,9,piper94 07-10-94,2,3.636666667,4,3.8751480610000004,4,2
318,6,piper94 07-10-94,2,3.8,4,3.747849887,4,2
319,10,piper94 07-10-94,2,3.93,4,3.9390796239999997,4,2
320,3,piper94 07-10-94,2,3.606666667,4,3.436217905,4,2
321,7,piper94 07-10-94,2,3.7033333330000002,4,3.253835212,2,2
322,9,piper94 07-10-94,2,3.5266666669999998,4,3.2365926060000003,3,2
323,10,piper94 07-10-94,2,3.43,4,3.2114992439999996,4,2
324,8,piper94 07-10-94,2,3.6766666669999997,4,3.566854824,4,2
325,10,piper94 09-11-94,2,4.73,4,4.644088934,7,2
326,7,piper94 09-11-94,2,4.2,4,3.909524106,3,2
327,19,piper94 09-11-94,2,3.97,4,2.95246255,3,2
328,3,piper94 09-11-94,2,4.236666667,4,4.004814733,4,2
329,5,piper94 09-11-94,2,4.113333333,4,3.729867463,3,2
330,6,piper94 09-11-94,2,3.63,4,3.0620200110000004,3,2
331,9,piper94 09-11-94,2,4.27,4,4.306617758,4,2
332,2,piper94 09-11-94,2,4.233333333,4,4.667209196,7,2
333,25,piper94 09-11-94,2,4.17,4,3.9927933839999996,5,2
334,7,piper94 09-11-94,2,4.68,4,3.7890906060000002,5,2
335,6,piper94 09-11-94,2,4.303333333,4,4.560588165,4,2
336,11,SS03,2,3.4666666669999997,4,3.1768165010000002,4,2
337,14,SS03,2,3.213333333,4,3.048091723,4,2
338,16,SS03,2,3.163333333,4,2.5575076080000003,1,2
339,10,SS03,2,3.4266666669999997,4,2.54585576,4,2
340,9,SS03,2,3.433333333,4,3.472706952,4,2
341,12,SS03,2,3.206666667,4,2.480253382,3,2
342,9,SS03,2,3.57,4,2.8379666869999998,3,2
343,8,SS03,2,3.293333333,4,2.433642554,3,2
344,14,SS03,2,3.343333333,4,2.918855601,4,2
345,6,SS03,2,4.11,4,3.018714305,4,2
346,8,SS03,2,3.66,4,3.0878866410000003,4,2
347,10,SS03,2,3.64,4,3.356622963,3,2
348,11,SS03,2,3.7833333330000003,4,3.3813952069999997,4,2
349,8,SS03,2,3.503333333,4,3.216938543,4,2
350,10,SS03,2,3.913333333,4,3.541435142,4,2
351,11,SS03,2,3.7433333330000003,4,3.2835098080000003,4,2
352,14,SS03,2,3.383333333,4,2.465442539,2,2
353,9,SS03,2,3.746666667,4,2.8031225330000002,4,2
354,9,SS03,2,3.633333333,4,2.5576326519999997,3,2
355,11,SS03,2,4.073333333,4,3.5834407930000003,4,2
356,7,SS03,2,3.753333333,4,3.273667652,4,2
357,9,SS03,2,3.713333333,4,3.1354955380000002,4,2
358,24,SS07,2,2.683333333,4,1.988963115,1,2
359,18,SS07,2,3.056666667,4,2.15644033,1,2
360,13,SS07,2,2.97,4,2.371032632,3,2
361,9,SS09,2,3.156666667,4,2.785686604,3,2
362,16,SS09,2,3.126666667,4,3.350648188,2,2
363,18,SS09,2,2.54,4,2.577342019,3,2
364,10,SS09,2,3.0066666669999997,4,3.1183933460000004,3,2
365,15,SS09,2,3.49,4,3.180167295,3,2
366,8,SS09,2,2.893333333,4,2.9782018439999995,3,2
367,10,SS09,2,2.706666667,4,2.6941586839999996,3,2
368,4,SS09,2,2.7433333330000003,4,2.8576690389999997,3,2
369,9,SS09,2,3.186666667,4,2.796560663,3,2
370,14,SS09,2,2.73,4,3.121021615,3,2
371,11,SS09,2,2.976666667,4,3.408308846,3,2
372,10,SS09,2,2.76,4,3.1917295739999996,3,2
373,14,SS09,2,2.753333333,4,2.8151338389999996,3,2
374,11,SS09,2,2.873333333,4,2.905328635,3,2
375,13,SS09,2,2.7033333330000002,4,3.006810911,3,2
376,14,SS09,2,3.0466666669999998,4,2.7880233960000003,3,2
377,13,SS09,2,2.93,4,2.526215213,3,2
378,12,SS09,2,3.48,4,3.5920560189999997,3,2
379,12,SS09,2,3.183333333,4,2.824127331,3,2
380,15,SS09,2,2.72,4,2.770572845,3,2
381,11,SS09,2,3.68,4,2.9374609460000003,3,2
382,10,SS09,2,2.43,4,3.0739790719999998,3,2
383,29,you-adulterous-people-steve-shepherd-sermon-on-adultery-165397.asp,2,3.44,4,3.190532588,4,2
384,4,you-adulterous-people-steve-shepherd-sermon-on-adultery-165397.asp,2,3.516666667,4,3.211830424,4,2
