PSJudge,avgEVC,avgSD,binCount,binSize,cocoWindow,cvWindow,elle,il,ils,je,judgementMethod,keywordMethod,le,netAngle,nous,perNeg,perNegDoc,perPos,perPosDoc,pronounCount,pronounFrac,rfAccuracy,rfClassAccuracy,rfClassExact,rfClassMAE,rfMAE,runID,svmAccuracy,svmClassAccuracy,svmClassExact,svmClassMAE,svmMAE,targetWordCount,toBeCount,toBeFrac,vous
,0.0173715848521,0.00119888702913,355,10,3.0,3.0,0.0156297115688,0.149022666079,0.425148074075,0.00324519954659,pronounFrac,tfidf,0.015591001732,30.0,0.180352674211,0.0888863565993,0.0,0.00672269580532,0.0,,0.00693286802746,0.891891891892,,,,0.278131228574,BSOGCF,0.927927927928,,,,0.365171749558,30.0,,,0.0898982804752
,0.00129833177808,0.00466464912118,355,10,3.0,3.0,0.00306703910615,0.168041369482,0.410621051273,0.0265248754855,both,tfidfNoPro,0.00858886680576,30.0,0.0491311567708,0.0313046915431,0.00997775944065,0.0121204520872,0.0129154694273,,0.00391402526764,0.882882882883,,,,0.336936936937,9TDJCA,0.90990990991,,,,0.339778204654,15.0,,0.215061433555,0.0427688288577
,0.0046078005229,0.00097114666457,355,10,3.0,3.0,0.000723041023235,0.118096217561,0.466790098653,0.00287106434811,both,tfidfNoPro,0.00460511674916,30.0,0.131145491405,0.0279171112263,0.000706318765377,0.0117769548599,0.0,,0.00157680001118,0.90990990991,,,,0.276576576577,LYNDE5,0.945945945946,,,,0.390771617396,15.0,,0.174837326943,0.0533755112672
,0.0149827364075,0.0026124947422,355,10,3.0,3.0,0.00326250521996,0.163807326322,0.424769234011,0.0192709675168,both,tfidfNoPro,0.00929071722194,30.0,0.154323240907,0.0131459114429,0.00965291173192,0.00228866795214,0.00867005405508,,0.0213199660179,0.864864864865,,,,0.452252252252,6FRCTM,0.945945945946,,,,0.341632520789,20.0,,0.134250759811,0.0183525066394
,0.00223074065364,0.00171173512431,355,10,3.0,3.0,0.0124297510301,0.163501182982,0.436106345779,0.0181354218637,both,tfidfNoPro,0.0137361036864,30.0,0.172886452409,0.0349126970156,0.00203044501046,0.007015951102,0.00107099922378,,0.00704917353113,0.918918918919,,,,0.317117117117,KK8VO1,0.90990990991,,,,0.374607917175,20.0,,0.0870203877694,0.0401626128187
,0.0080348847536,0.00259425241946,355,10,3.0,3.0,0.00146302868383,0.14819087988,0.441821575967,0.0111334430929,both,tfidfNoPro,0.00873794069297,30.0,0.145644035121,0.015887879117,0.000837520620823,0.00411834671023,0.00653753131435,,0.0146224713853,0.90990990991,,,,0.297297297297,2E0XF9,0.954954954955,,,,0.330307593697,30.0,,0.12839202452,0.0619841857211
,0.00501497187517,0.00125019294212,355,10,3.0,3.0,0.00377912090482,0.120130583613,0.414147116001,0.0256424828405,both,tfidfNoPro,0.0100295057241,30.0,0.26007385625,0.0149914993283,0.00498115010295,0.012361715263,0.000636111675221,,0.0222336105527,0.954954954955,,,,0.240653153153,5Z4U8N,0.963963963964,,,,0.328747677524,30.0,,0.0257963109183,0.078931772009
,,,355,10,3.0,3.0,0.0133738993295,0.141126389972,0.427876740803,0.0263281556191,pronoun,tfidfNoPro,0.089388823879,30.0,0.180314004949,,,,,,,0.882882882883,,,,0.299099099099,O6ECER,0.882882882883,,,,0.364978836289,10.0,,,0.121591985449
,,,355,10,,,,,0.584669409061,,,,,,0.415330590939,,,,,,,0.702702702703,,,,0.832430015234,92QH8Q,0.783783783784,,,,0.670290627605,,,,
,,,355,10,,,,,0.621365776477,,,,,,0.378634223523,,,,,,,0.747747747748,,,,0.68465126452,8IS2HB,0.783783783784,,,,0.601075129363,,,,
,,,355,10,,,,,0.622583299722,,,,,,0.377416700278,,,,,,,0.693693693694,,,,0.823901799715,R8I56M,0.756756756757,,,,0.724616717989,,,,
,,,355,10,,,0.0333668199214,0.213370959881,0.406283501815,0.0172171107431,,,0.0485421151935,,0.216980467671,,,,,,,0.927927927928,,,,0.272072072072,YOXI9M,0.873873873874,,,,0.406199805908,,,,0.0642390247747
,,,355,10,,,0.0145490386868,0.162261396441,0.485264278759,0.00773604706317,,,0.0223454963463,,0.20720001169,,,,,,,0.891891891892,,,,0.290990990991,9N34LC,0.90990990991,,,,0.40483750372,,,,0.100643731014
,,,355,10,,,0.00792602500185,0.163560460435,0.402774760494,0.0454045557431,,,0.0552455072847,,0.231539910026,,,,,,,0.873873873874,,,,0.316936936937,QB4CZL,0.90990990991,,,,0.418591520113,,,,0.0935487810164
